yard_id,rake_type,rake_id,creation_date,bpc_categ,total_wagons,incoming_bpc,bpc_no,arrival_timestamp,dispatch_timestamp,exam_start_timestamp,exam_comp_timestamp,rake_event_id,ar_to_ex_st,ar_to_ex_st1,arrival_hour,arrival_day,arrival_weekday,arrival_shift,rakes_already_present,rakes_waiting_dispatch,same_type_rakes_present,rakes_already_present_before_exam_complete,time_since_last_dispatch,waited_due_to_previous_rake,time_since_creation_to_arrival,rake_density_score,arrival_date,total_exam_delay_yard_day,avg_delay_yard_day,delay_ratio_to_yard_avg,same_type_rakes_ratio,rush_factor,arrival_to_dispatch_gap,dispatch_wait_penalty_yardwise,prev_rake_arrival,prev_rake_gap_minutes
ACTL/TKD,CONTAINER,UMB 080621221111,2023-02-02,REVALID,46,50000502900.0,50000508033,2023-02-01 01:50:00,2023-02-02 17:27:00,2023-02-01 20:45:00,2023-02-01 22:15:00,UMB 080621221111_2023-02-02,1135.0,1135.0,1,2023-02-01,2,Night,1,1,1,0,2330.0,0,-1330.0,3,2023-02-01,1350.0,675.0,1.6789940828402368,0.5,92,2377.0,1,2023-01-31 05:50:00,1200.0
ACTL/TKD,CONTAINER,MATP031122102733,2023-02-02,REVALID,45,50000503763,50000507789,2023-02-01 23:40:00,2023-02-02 07:36:00,2023-02-02 03:15:00,2023-02-02 04:45:00,MATP031122102733_2023-02-02,215.0,215.0,23,2023-02-01,2,Evening,1,1,1,0,935.0,0,-20.0,3,2023-02-01,1350.0,675.0,0.3180473372781065,0.5,90,476.0,0,2023-02-01 01:50:00,1310.0
ACTL/TKD,CONTAINER,CP  201220140014,2023-02-03,REVALID,46,50000504456,50000508578,2023-02-02 06:20:00,2023-02-04 02:02:00,2023-02-03 20:45:00,2023-02-03 22:15:00,CP  201220140014_2023-02-03,2305.0,2305.0,6,2023-02-02,3,Morning,2,2,2,0,1335.0,0,-1060.0,6,2023-02-02,2520.0,1260.0,1.8279143536875493,0.6666666666666666,184,2622.0,1,2023-02-01 23:40:00,400.0
ACTL/TKD,CONTAINER,FL  160122144237,2023-02-02,REVALID,41,50000500504,50000508042,2023-02-02 09:15:00,2023-02-02 17:55:00,2023-02-02 12:50:00,2023-02-02 14:20:00,FL  160122144237_2023-02-02,215.0,215.0,9,2023-02-02,3,Morning,2,1,2,1,99.0,1,555.0,5,2023-02-02,2520.0,1260.0,0.1704996034892942,0.6666666666666666,123,520.0,0,2023-02-02 06:20:00,175.0
ACTL/TKD,CONTAINER,MATP110123092507,2023-02-05,REVALID,41,50000506322,50000509356,2023-02-05 04:35:00,2023-02-05 22:27:00,2023-02-05 13:30:00,2023-02-05 15:00:00,MATP110123092507_2023-02-05,535.0,535.0,4,2023-02-05,6,Night,0,0,0,0,1593.0,0,275.0,0,2023-02-05,1155.0,577.5,0.9248055315471044,0.0,0,1072.0,0,2023-02-02 09:15:00,4040.0
ACTL/TKD,CONTAINER,CP  080120001928,2023-02-06,REVALID,45,50000502468,50000509559,2023-02-05 20:10:00,2023-02-06 12:28:00,2023-02-06 06:30:00,2023-02-06 08:00:00,CP  080120001928_2023-02-06,620.0,620.0,20,2023-02-05,6,Evening,1,1,1,0,2528.0,0,-230.0,3,2023-02-05,1155.0,577.5,1.0717372515125323,0.5,90,978.0,0,2023-02-05 04:35:00,935.0
ACTL/TKD,CONTAINER,MKPP270822113939,2023-02-08,REVALID,46,50000507809,50000510280,2023-02-07 18:50:00,2023-02-08 05:50:00,2023-02-08 03:00:00,2023-02-08 04:30:00,MKPP270822113939_2023-02-08,490.0,490.0,18,2023-02-07,1,Evening,0,0,0,0,1822.0,0,-310.0,0,2023-02-07,490.0,490.0,0.9979633401221996,0.0,0,660.0,0,2023-02-05 20:10:00,2800.0
ACTL/TKD,CONTAINER,JUDW210922170602,2023-02-08,CC_EXAM,46,50000502042,50000510486,2023-02-08 01:00:00,2023-02-08 23:00:00,2023-02-08 09:10:00,2023-02-08 14:10:00,JUDW210922170602_2023-02-08,490.0,490.0,1,2023-02-08,2,Night,1,0,1,1,2192.0,1,60.0,2,2023-02-08,490.0,490.0,0.9979633401221996,0.5,46,1320.0,0,2023-02-07 18:50:00,370.0
ACTL/TKD,CONTAINER,CP  201220140014,2023-02-10,REVALID,46,50000508578,50000511452,2023-02-10 06:45:00,2023-02-10 23:33:00,2023-02-10 14:30:00,2023-02-10 16:00:00,CP  201220140014_2023-02-10,465.0,465.0,6,2023-02-10,4,Morning,0,0,0,0,1905.0,0,405.0,0,2023-02-10,465.0,465.0,0.9978540772532188,0.0,0,1008.0,0,2023-02-08 01:00:00,3225.0
ACTL/TKD,CONTAINER,UMB 080621221111,2023-02-13,CC_EXAM,46,50000499805.0,50000512573,2023-02-12 12:40:00,2023-02-14 01:10:00,2023-02-13 09:10:00,2023-02-13 14:10:00,UMB 080621221111_2023-02-13,1230.0,1230.0,12,2023-02-12,6,Afternoon,0,0,0,0,2227.0,0,-680.0,0,2023-02-12,1230.0,1230.0,0.9991876523151908,0.0,0,2190.0,1,2023-02-10 06:45:00,3235.0
